,GEOID
5306,31173
5309,31175
5312,31177
5315,31179
5318,31181
5321,31183
5324,31185
5330,32001
5333,32003
5336,32005
5339,32007
5342,32009
5345,32011
5348,32013
5351,32015
5354,32017
5357,32019
5360,32021
5363,32023
5366,32027
5369,32029
5372,32031
5375,32033
5378,32510
5384,33001
5387,33003
5390,33005
5393,33007
5396,33009
5399,33011
5402,33013
5405,33015
5408,33017
5411,33019
5417,34001
5420,34003
5423,34005
5426,34007
5429,34009
5432,34011
5435,34013
5438,34015
5441,34017
5444,34019
5447,34021
5450,34023
5453,34025
5456,34027
5459,34029
5462,34031
5465,34033
5468,34035
5471,34037
5474,34039
5477,34041
5483,35001
5486,35003
5489,35005
5492,35006
5495,35007
5498,35009
5501,35011
5504,35013
5507,35015
5510,35017
5513,35019
5516,35021
5519,35023
5522,35025
5525,35027
5528,35028
5531,35029
5534,35031
5537,35033
5540,35035
5543,35037
5546,35039
5549,35041
5552,35043
5555,35045
5558,35047
5561,35049
5564,35051
5567,35053
5570,35055
5573,35057
5576,35059
5579,35061
5585,36001
5588,36003
5591,36005
5594,36007
5597,36009
5600,36011
5603,36013
5606,36015
5609,36017
5612,36019
5615,36021
5618,36023
5621,36025
5624,36027
5627,36029
5630,36031
5633,36033
5636,36035
5639,36037
5642,36039
5645,36041
5648,36043
5651,36045
5654,36047
5657,36049
5660,36051
5663,36053
5666,36055
5669,36057
5672,36059
5675,36061
5678,36063
5681,36065
5684,36067
5687,36069
5690,36071
5693,36073
5696,36075
5699,36077
5702,36079
5705,36081
5708,36083
5711,36085
5714,36087
5717,36089
5720,36091
5723,36093
5726,36095
5729,36097
5732,36099
5735,36101
5738,36103
5741,36105
5744,36107
5747,36109
5750,36111
5753,36113
5756,36115
5759,36117
5762,36119
5765,36121
5768,36123
5774,37001
5777,37003
5780,37005
5783,37007
5786,37009
5789,37011
5792,37013
5795,37015
5798,37017
5801,37019
5804,37021
5807,37023
5810,37025
5813,37027
5816,37029
5819,37031
5822,37033
5825,37035
5828,37037
5831,37039
5834,37041
5837,37043
5840,37045
5843,37047
5846,37049
5849,37051
5852,37053
5855,37055
5858,37057
5861,37059
5864,37061
5867,37063
5870,37065
5873,37067
5876,37069
5879,37071
5882,37073
5885,37075
5888,37077
5891,37079
5894,37081
5897,37083
5900,37085
5903,37087
5906,37089
5909,37091
5912,37093
5915,37095
5918,37097
5921,37099
5924,37101
5927,37103
5930,37105
5933,37107
5936,37109
5939,37111
5942,37113
5945,37115
5948,37117
5951,37119
5954,37121
5957,37123
5960,37125
5963,37127
5966,37129
5969,37131
5972,37133
5975,37135
5978,37137
5981,37139
5984,37141
5987,37143
5990,37145
5993,37147
5996,37149
5999,37151
6002,37153
6005,37155
6008,37157
6011,37159
6014,37161
6017,37163
6020,37165
6023,37167
6026,37169
6029,37171
6032,37173
6035,37175
6038,37177
6041,37179
6044,37181
6047,37183
6050,37185
6053,37187
6056,37189
6059,37191
6062,37193
6065,37195
6068,37197
6071,37199
6077,38001
6080,38003
6083,38005
6086,38007
6089,38009
6092,38011
6095,38013
6098,38015
6101,38017
6104,38019
6107,38021
6110,38023
6113,38025
6116,38027
6119,38029
6122,38031
6125,38033
6128,38035
6131,38037
6134,38039
6137,38041
6140,38043
6143,38045
6146,38047
6149,38049
6152,38051
6155,38053
6158,38055
6161,38057
6164,38059
6167,38061
6170,38063
6173,38065
6176,38067
6179,38069
6182,38071
6185,38073
6188,38075
6191,38077
6194,38079
6197,38081
6200,38083
6203,38085
6206,38087
6209,38089
6212,38091
6215,38093
6218,38095
6221,38097
6224,38099
6227,38101
6230,38103
6233,38105
6239,39001
6242,39003
6245,39005
6248,39007
6251,39009
6254,39011
6257,39013
6260,39015
6263,39017
6266,39019
6269,39021
6272,39023
6275,39025
6278,39027
6281,39029
6284,39031
6287,39033
6290,39035
6293,39037
6296,39039
6299,39041
6302,39043
6305,39045
6308,39047
6311,39049
6314,39051
6317,39053
6320,39055
6323,39057
6326,39059
6329,39061
6332,39063
6335,39065
6338,39067
6341,39069
6344,39071
6347,39073
6350,39075
6353,39077
6356,39079
6359,39081
6362,39083
6365,39085
6368,39087
6371,39089
6374,39091
6377,39093
6380,39095
6383,39097
6386,39099
6389,39101
6392,39103
6395,39105
6398,39107
6401,39109
6404,39111
6407,39113
6410,39115
6413,39117
6416,39119
6419,39121
6422,39123
6425,39125
6428,39127
6431,39129
6434,39131
6437,39133
6440,39135
6443,39137
6446,39139
6449,39141
6452,39143
6455,39145
6458,39147
6461,39149
6464,39151
6467,39153
