GEO,GEOID
48219,5
48223,5
48245,5
48225,5
48227,5
48229,5
48231,5
48233,5
48235,5
48237,5
48239,5
48241,5
48201,5
48199,5
48197,5
48195,5
48157,5
48159,5
48161,5
48163,5
48165,5
48167,5
48169,5
48171,5
48173,5
48175,5
48177,5
48179,5
48181,5
48183,5
48185,5
48187,5
48189,5
48191,5
48193,5
48243,5
48247,5
48337,5
48315,5
48297,5
48299,5
48301,5
48303,5
48305,5
48307,5
48309,5
48311,5
48313,5
48317,5
48249,5
48319,5
48321,5
48323,5
48325,5
48327,5
48329,5
48331,5
48333,5
48335,5
48295,5
48293,5
48291,5
48289,5
48251,5
48253,5
48255,5
48257,5
48259,5
48261,5
48263,5
48265,5
48267,5
48269,5
48271,5
48273,5
48275,5
48277,5
48279,5
48281,5
48283,5
48285,5
48287,5
49017,5
49021,5
41035,5
51199,5
51179,5
51181,5
51183,5
51185,5
51187,5
51191,5
51193,5
51195,5
51197,5
51510,5
51620,5
51520,5
51530,5
51540,5
51550,5
51570,5
51580,5
51590,5
51595,5
51600,5
51177,5
51175,5
51173,5
51171,5
51131,5
51133,5
51135,5
51137,5
51139,5
51141,5
51143,5
51145,5
51147,5
51149,5
51153,5
51155,5
51157,5
51159,5
51161,5
51163,5
51165,5
51167,5
51169,5
51610,5
51630,5
51125,5
53017,5
51840,5
53001,5
53003,5
53005,5
53007,5
53009,5
53011,5
53013,5
53015,5
53019,5
51640,5
53021,5
53023,5
53025,5
53027,5
53029,5
53031,5
53033,5
53035,5
53037,5
51830,5
51820,5
51810,5
51800,5
51650,5
51660,5
51670,5
51678,5
51680,5
51683,5
51685,5
51690,5
51700,5
51710,5
51720,5
51730,5
51735,5
51740,5
51750,5
51760,5
51770,5
51775,5
51790,5
51127,5
51121,5
49023,5
51001,5
50013,5
50015,5
50017,5
50019,5
50021,5
50023,5
50025,5
50027,5
51000,5
51003,5
51025,5
51005,5
51007,5
51009,5
51011,5
51013,5
51015,5
51017,5
51019,5
51021,5
50011,5
50009,5
50007,5
50005,5
49025,5
49027,5
49029,5
49031,5
49033,5
49035,5
49037,5
49039,5
49041,5
49043,5
49045,5
49047,5
49049,5
49051,5
49053,5
49055,5
49057,5
50001,5
50003,5
51023,5
51027,5
51119,5
51097,5
51079,5
51081,5
51083,5
51085,5
51087,5
51089,5
51091,5
51093,5
51095,5
51099,5
51029,5
51101,5
51103,5
51105,5
51107,5
51109,5
51111,5
51113,5
51115,5
51117,5
51077,5
51075,5
51073,5
51071,5
51031,5
51033,5
51035,5
51036,5
51037,5
51041,5
51043,5
51045,5
51047,5
51049,5
51051,5
51053,5
51057,5
51059,5
51061,5
51063,5
51065,5
51067,5
51069,5
48155,5
48153,5
48151,5
45071,5
45053,5
45055,5
45057,5
45059,5
45061,5
45063,5
45065,5
45067,5
45069,5
45073,5
46005,5
45075,5
45077,5
45079,5
45081,5
45083,5
45085,5
45087,5
45089,5
45091,5
45051,5
45049,5
45047,5
45045,5
45007,5
45009,5
45011,5
45013,5
45015,5
45017,5
45019,5
45021,5
45023,5
45025,5
45027,5
45029,5
45031,5
45033,5
45035,5
45037,5
45039,5
45041,5
45043,5
46003,5
46007,5
45003,5
46075,5
46057,5
46059,5
46061,5
46063,5
46065,5
46067,5
46069,5
46071,5
46073,5
46077,5
46009,5
46079,5
46081,5
46083,5
46085,5
46087,5
46089,5
46091,5
46093,5
46095,5
46055,5
46053,5
46051,5
46049,5
46011,5
46013,5
46015,5
46017,5
46019,5
46021,5
46023,5
46025,5
46027,5
46029,5
46031,5
46033,5
46035,5
46037,5
46039,5
46041,5
46043,5
46045,5
46047,5
45005,5
45001,5
48149,5
42027,5
42009,5
42011,5
42013,5
42015,5
42017,5
42019,5
42021,5
42023,5
42025,5
42029,5
42051,5
42031,5
42033,5
42035,5
42037,5
42039,5
42041,5
42043,5
42045,5
42047,5
42007,5
42005,5
42003,5
42001,5
41037,5
41039,5
41041,5
41043,5
41045,5
41047,5
41049,5
41051,5
41053,5
41055,5
41057,5
41059,5
41061,5
41063,5
41065,5
41067,5
41069,5
41071,5
42000,5
42049,5
42053,5
44009,5
42121,5
42103,5
42105,5
42107,5
42109,5
42111,5
42113,5
42115,5
42117,5
42119,5
42123,5
42055,5
42125,5
42127,5
42129,5
42131,5
42133,5
44001,5
44003,5
44005,5
44007,5
42101,5
42099,5
42097,5
42095,5
42057,5
42059,5
42061,5
42063,5
42065,5
42067,5
42069,5
42071,5
42073,5
42075,5
42077,5
42079,5
42081,5
42083,5
42085,5
42087,5
42089,5
42091,5
42093,5
46097,5
46099,5
46101,5
48033,5
48015,5
48017,5
48019,5
48021,5
48023,5
48025,5
48027,5
48029,5
48031,5
48035,5
48057,5
48037,5
48039,5
48041,5
48043,5
48045,5
48047,5
48049,5
48051,5
48053,5
48013,5
48011,5
48009,5
48007,5
47159,5
47161,5
47163,5
47165,5
47167,5
47169,5
47171,5
47173,5
47175,5
47177,5
47179,5
47181,5
47183,5
47185,5
47187,5
47189,5
48001,5
48003,5
48005,5
48055,5
48059,5
46103,5
48127,5
48109,5
48111,5
48113,5
48115,5
48117,5
48119,5
48121,5
48123,5
48125,5
48129,5
48061,5
48131,5
48133,5
48135,5
48137,5
48139,5
48141,5
48143,5
48145,5
48147,5
48107,5
48105,5
48103,5
48101,5
48063,5
48065,5
48067,5
48069,5
48071,5
48073,5
48075,5
48077,5
48079,5
48081,5
48083,5
48085,5
48087,5
48089,5
48091,5
48093,5
48095,5
48097,5
48099,5
47157,5
47155,5
47153,5
47037,5
47019,5
47021,5
47023,5
47025,5
47027,5
47029,5
47031,5
47033,5
47035,5
47039,5
47151,5
47041,5
47043,5
47045,5
47047,5
47049,5
47051,5
47053,5
47055,5
47057,5
47017,5
47015,5
47013,5
47011,5
46105,5
46107,5
46109,5
46111,5
46115,5
46117,5
46119,5
46121,5
46123,5
46125,5
46127,5
46129,5
46135,5
46137,5
47001,5
47003,5
47005,5
47007,5
47009,5
47059,5
47061,5
47063,5
47109,5
47113,5
47115,5
47117,5
47119,5
47121,5
47123,5
47125,5
47127,5
47129,5
47131,5
47133,5
47135,5
47137,5
47139,5
47141,5
47143,5
47145,5
47147,5
47149,5
47111,5
47107,5
47065,5
47105,5
47067,5
47069,5
47071,5
47073,5
47075,5
47077,5
47079,5
47081,5
47083,5
47085,5
47087,5
47089,5
47091,5
47093,5
47095,5
47097,5
47099,5
47101,5
47103,5
28151,5
30023,5
28147,5
13229,5
13211,5
13213,5
13215,5
13217,5
13219,5
13221,5
13223,5
13225,5
13227,5
13231,5
13253,5
13233,5
13235,5
13237,5
13239,5
13241,5
13243,5
13245,5
13247,5
13249,5
13209,5
13207,5
13205,5
13201,5
13163,5
13165,5
13167,5
13169,5
13171,5
13173,5
13175,5
13177,5
13179,5
13181,5
13183,5
13185,5
13187,5
13189,5
13191,5
13193,5
13195,5
13197,5
13199,5
13251,5
13255,5
13159,5
15000,5
13305,5
13307,5
13309,5
13311,5
13313,5
13315,5
13317,5
13319,5
13321,5
15001,5
13257,5
15003,5
15007,5
15009,5
16001,5
16003,5
16005,5
16007,5
16009,5
16011,5
13303,5
13301,5
13299,5
13297,5
13259,5
13261,5
13263,5
13265,5
13267,5
13269,5
13271,5
13273,5
13275,5
13277,5
13279,5
13281,5
13283,5
13285,5
13287,5
13289,5
13291,5
13293,5
13295,5
13161,5
13157,5
12105,5
13037,5
13019,5
13021,5
13023,5
13025,5
13027,5
13029,5
13031,5
13033,5
13035,5
13039,5
13063,5
13043,5
13045,5
13047,5
13049,5
13051,5
13053,5
13055,5
13057,5
13059,5
13017,5
13015,5
13013,5
13011,5
12109,5
12111,5
12113,5
12115,5
12117,5
12119,5
12121,5
12123,5
12125,5
12127,5
12129,5
12131,5
12133,5
13000,5
13001,5
13003,5
13005,5
13007,5
13009,5
13061,5
13065,5
13155,5
13133,5
13115,5
13117,5
13119,5
13121,5
13123,5
13125,5
13127,5
13129,5
13131,5
13135,5
13067,5
13137,5
13139,5
13141,5
13143,5
13145,5
13147,5
13149,5
13151,5
13153,5
13113,5
13111,5
13109,5
13107,5
13069,5
13071,5
13073,5
13075,5
13077,5
13079,5
13081,5
13083,5
13085,5
13087,5
13089,5
13091,5
13093,5
13095,5
13097,5
13099,5
13101,5
13103,5
13105,5
16013,5
16015,5
16017,5
17183,5
17165,5
17167,5
17169,5
17171,5
17173,5
17175,5
17177,5
17179,5
17181,5
17185,5
18003,5
17187,5
17189,5
17191,5
17193,5
17195,5
17197,5
17199,5
17201,5
17203,5
17163,5
17161,5
17159,5
17157,5
17119,5
17121,5
17123,5
17125,5
17127,5
17129,5
17131,5
17133,5
17135,5
17137,5
17139,5
17141,5
17143,5
17145,5
17147,5
17149,5
17151,5
17153,5
17155,5
18001,5
18005,5
16019,5
18073,5
18055,5
18057,5
18059,5
18061,5
18063,5
18065,5
18067,5
18069,5
18071,5
18075,5
18007,5
18077,5
18079,5
18081,5
18083,5
18085,5
18087,5
18089,5
18091,5
18093,5
18053,5
18051,5
18049,5
18047,5
18009,5
18011,5
18013,5
18015,5
18017,5
18019,5
18021,5
18023,5
18025,5
18027,5
18029,5
18031,5
18033,5
18035,5
18037,5
18039,5
18041,5
18043,5
18045,5
17117,5
17115,5
17113,5
16085,5
16067,5
16069,5
16071,5
16073,5
16075,5
16077,5
16079,5
16081,5
16083,5
16087,5
17111,5
17001,5
17003,5
17005,5
17007,5
17009,5
17011,5
17013,5
17015,5
17017,5
16065,5
16063,5
16061,5
16059,5
16021,5
16023,5
16025,5
16027,5
16029,5
16031,5
16033,5
16035,5
16037,5
16039,5
16041,5
16043,5
16045,5
16047,5
16049,5
16051,5
